factor,window_id,time_index,metric,original_value,shuffled_value,gap
F-F_Momentum_Factor_daily:Mom,0,1928-07-21,lambda2,0.0256615664752116,0.0143962053548278,0.0112653611203838
F-F_Momentum_Factor_daily:Mom,0,1928-07-21,p_MRW,0.7251405751538311,0.7208254944250806,0.0043150807287505
F-F_Momentum_Factor_daily:Mom,0,1928-07-21,f_alpha_width,0.0513231329504235,0.0287924107096557,0.0225307222407677
F-F_Momentum_Factor_daily:Mom,0,1928-07-21,logvol_cov_slope,-0.0001080027655903,0.0047884311024306,-0.004896433868021
F-F_Momentum_Factor_daily:Mom,1,1929-05-27,lambda2,0.0422535038627236,0.0223424489583476,0.0199110549043759
F-F_Momentum_Factor_daily:Mom,1,1929-05-27,p_MRW,0.7703490199669046,0.7313598339286589,0.0389891860382457
F-F_Momentum_Factor_daily:Mom,1,1929-05-27,f_alpha_width,0.0845070077254477,0.0446848979166956,0.0398221098087521
F-F_Momentum_Factor_daily:Mom,1,1929-05-27,logvol_cov_slope,0.0480235950713196,0.0106053372890094,0.0374182577823102
F-F_Momentum_Factor_daily:Mom,2,1930-04-07,lambda2,0.079434047975505,0.0278360114636628,0.0515980365118422
F-F_Momentum_Factor_daily:Mom,2,1930-04-07,p_MRW,0.7996471974780778,0.7260854755737426,0.0735617219043351
F-F_Momentum_Factor_daily:Mom,2,1930-04-07,f_alpha_width,0.1588680959510102,0.0556720229273255,0.1031960730236847
F-F_Momentum_Factor_daily:Mom,2,1930-04-07,logvol_cov_slope,0.0504598981201631,-0.0113760047325186,0.0618359028526817
F-F_Momentum_Factor_daily:Mom,3,1931-02-10,lambda2,0.0565800575969584,0.0143985097855739,0.0421815478113844
F-F_Momentum_Factor_daily:Mom,3,1931-02-10,p_MRW,0.7521328581528822,0.7169457122891835,0.0351871458636987
F-F_Momentum_Factor_daily:Mom,3,1931-02-10,f_alpha_width,0.1131601151939168,0.0287970195711478,0.084363095622769
F-F_Momentum_Factor_daily:Mom,3,1931-02-10,logvol_cov_slope,0.0056820068893482,-0.0121293055711852,0.0178113124605335
F-F_Momentum_Factor_daily:Mom,4,1931-12-12,lambda2,0.0571922327189548,0.0104652388782201,0.0467269938407346
F-F_Momentum_Factor_daily:Mom,4,1931-12-12,p_MRW,0.7878793864896678,0.7136363256609924,0.0742430608286753
F-F_Momentum_Factor_daily:Mom,4,1931-12-12,f_alpha_width,0.1143844654379102,0.0209304777564401,0.0934539876814701
F-F_Momentum_Factor_daily:Mom,4,1931-12-12,logvol_cov_slope,0.0532134566266893,-0.0071767188450548,0.0603901754717442
