T,estimator,lambda2_mae,lambda2_rmse,lambda2_corr,lambda2_spearman,high_lambda_detection_rate,boundary_accuracy,mean_mrw_vs_mono_gain,warning_rate
512,mfdfa,0.06968460903591041,0.087131336931248,-0.08013026799421376,-0.04236431343894835,0.75,0.6,0.8517394070513546,0.0
512,mfdfa_quadratic,0.07059649161313428,0.09650093987940866,-0.07857303844129618,-0.038006841199513655,0.15,0.3,0.8863130328104034,0.0
512,structure_aggregated_ols,0.07637133061136774,0.1040696570776224,-0.10659485622739251,-0.09083665439662907,0.05,0.275,0.6431404837407172,0.0
512,wavelet_leader_haar,0.0816324358030397,0.11133947884806723,-0.05001905989191863,0.02984657770588834,0.0,0.25,0.22712862291373312,0.0
512,wtmm_haar,0.08249949999983072,0.112804410378957,,,0.0,0.25,0.0,0.0
1024,mfdfa,0.0689094384321943,0.08747210728751521,-0.15730534184257247,-0.09392718449348383,0.7,0.5875,0.8700539406388998,0.0
1024,mfdfa_quadratic,0.07108579288630064,0.09772961033876841,-0.15240538054397093,-0.14379574120909638,0.025,0.2375,0.904597083479166,0.0
1024,structure_aggregated_ols,0.07775629285077959,0.10579749106875513,0.00509618036566568,-0.012784480436790724,0.0,0.25,0.5659379544773401,0.0
1024,wavelet_leader_haar,0.08236463820787321,0.11227557909983082,-0.13652275999177488,-0.12613366802489342,0.0,0.25,0.13589213842788012,0.0
1024,wtmm_haar,0.08249949999983072,0.112804410378957,,,0.0,0.25,0.0,0.0
2048,mfdfa,0.06724567363969983,0.0860811828376866,0.08602033623933716,0.08375980885243661,0.7,0.6,0.8640027679502964,0.0
2048,mfdfa_quadratic,0.07104006870515878,0.09795417920140208,-0.05810724851093609,-0.05809928937741268,0.025,0.2625,0.899366704095155,0.0
2048,structure_aggregated_ols,0.08001899231887363,0.10912442964010748,0.1408412464348228,0.1541310671342904,0.0,0.25,0.4466518323708442,0.0
2048,wavelet_leader_haar,0.08214169079994463,0.11213369143510284,0.14443200791224037,0.21762028508276018,0.0,0.25,0.07347544466610997,0.0
2048,wtmm_haar,0.08249949999983072,0.112804410378957,,,0.0,0.25,0.0,0.0
