t,x,dx,omega,H,lambda2,L,seed
0.0,-0.0021912904921919107,-0.0021912904921919107,-0.3749181628227234,0.6,0.12,512,2026
1.0,0.009561113081872463,0.01175240334123373,-0.36934739351272583,0.6,0.12,512,2026
2.0,0.02420198917388916,0.014640876092016697,-0.37363186478614807,0.6,0.12,512,2026
3.0,0.03491295501589775,0.010710964910686016,-0.3777565658092499,0.6,0.12,512,2026
4.0,0.049821887165308,0.014908932149410248,-0.37639319896698,0.6,0.12,512,2026
5.0,0.042691919952631,-0.007129967212677002,-0.37289193272590637,0.6,0.12,512,2026
6.0,0.034394584596157074,-0.008297334425151348,-0.36815741658210754,0.6,0.12,512,2026
7.0,0.02428015135228634,-0.010114433243870735,-0.37758639454841614,0.6,0.12,512,2026
8.0,0.024573447182774544,0.00029329516110010445,-0.3776807188987732,0.6,0.12,512,2026
9.0,0.042353782802820206,0.017780333757400513,-0.37630483508110046,0.6,0.12,512,2026
10.0,0.052263107150793076,0.009909327141940594,-0.36709311604499817,0.6,0.12,512,2026
11.0,0.05714308097958565,0.004879972897469997,-0.37221765518188477,0.6,0.12,512,2026
12.0,0.05973467230796814,0.002591590629890561,-0.37042155861854553,0.6,0.12,512,2026
13.0,0.07013273239135742,0.010398059152066708,-0.36506345868110657,0.6,0.12,512,2026
14.0,0.08980881422758102,0.019676081836223602,-0.37077727913856506,0.6,0.12,512,2026
15.0,0.09933485090732574,0.009526040405035019,-0.3707016110420227,0.6,0.12,512,2026
16.0,0.09600282460451126,-0.0033320302609354258,-0.37415239214897156,0.6,0.12,512,2026
17.0,0.10986138135194778,0.013858558610081673,-0.3757278621196747,0.6,0.12,512,2026
18.0,0.11829014867544174,0.008428767323493958,-0.3726276755332947,0.6,0.12,512,2026
19.0,0.1334470510482788,0.015156903304159641,-0.37647002935409546,0.6,0.12,512,2026
20.0,0.15015438199043274,0.016707323491573334,-0.3703964948654175,0.6,0.12,512,2026
21.0,0.14928196370601654,-0.0008724089711904526,-0.3690646290779114,0.6,0.12,512,2026
22.0,0.1560206264257431,0.006738664116710424,-0.35874253511428833,0.6,0.12,512,2026
23.0,0.15432830154895782,-0.0016923287184908986,-0.3687083125114441,0.6,0.12,512,2026
24.0,0.14246413111686707,-0.011864163912832737,-0.3599708080291748,0.6,0.12,512,2026
25.0,0.14065107703208923,-0.0018130546668544412,-0.37694498896598816,0.6,0.12,512,2026
26.0,0.1287633329629898,-0.011887751519680023,-0.38301700353622437,0.6,0.12,512,2026
27.0,0.13106946647167206,0.0023061358369886875,-0.3839513957500458,0.6,0.12,512,2026
28.0,0.13663065433502197,0.005561185069382191,-0.37690234184265137,0.6,0.12,512,2026
29.0,0.14046476781368256,0.003834119765087962,-0.38847729563713074,0.6,0.12,512,2026
30.0,0.1712874472141266,0.03082267753779888,-0.3836788535118103,0.6,0.12,512,2026
31.0,0.19467489421367645,0.02338743582367897,-0.3895445764064789,0.6,0.12,512,2026
32.0,0.19849665462970734,0.0038217660039663315,-0.39046886563301086,0.6,0.12,512,2026
33.0,0.19411057233810425,-0.004386084154248238,-0.39535626769065857,0.6,0.12,512,2026
34.0,0.21547235548496246,0.021361781284213066,-0.3972446322441101,0.6,0.12,512,2026
35.0,0.20815853774547577,-0.00731381680816412,-0.40275007486343384,0.6,0.12,512,2026
36.0,0.2040836066007614,-0.004074925556778908,-0.40595024824142456,0.6,0.12,512,2026
37.0,0.20448318123817444,0.0003995661099907011,-0.3967061936855316,0.6,0.12,512,2026
38.0,0.20759014785289764,0.0031069694086909294,-0.3904291093349457,0.6,0.12,512,2026
39.0,0.21574297547340393,0.008152831345796585,-0.3921688497066498,0.6,0.12,512,2026
40.0,0.21823017299175262,0.002487198216840625,-0.39192649722099304,0.6,0.12,512,2026
41.0,0.21520479023456573,-0.0030253813602030277,-0.3952594995498657,0.6,0.12,512,2026
42.0,0.21357524394989014,-0.0016295498935505748,-0.3930242657661438,0.6,0.12,512,2026
43.0,0.21445444226264954,0.0008792010485194623,-0.4029087424278259,0.6,0.12,512,2026
44.0,0.22144180536270142,0.006987357046455145,-0.404189795255661,0.6,0.12,512,2026
45.0,0.22952422499656677,0.008082419633865356,-0.38639241456985474,0.6,0.12,512,2026
46.0,0.24211226403713226,0.012588037177920341,-0.3843396008014679,0.6,0.12,512,2026
47.0,0.24203695356845856,-7.529677532147616e-05,-0.385550856590271,0.6,0.12,512,2026
48.0,0.24374845623970032,0.0017114941729232669,-0.39525339007377625,0.6,0.12,512,2026
49.0,0.26103475689888,0.017286311835050583,-0.39511916041374207,0.6,0.12,512,2026
50.0,0.27473947405815125,0.013704711571335793,-0.40091148018836975,0.6,0.12,512,2026
51.0,0.28509122133255005,0.010351741686463356,-0.3857494294643402,0.6,0.12,512,2026
52.0,0.3010823428630829,0.015991119667887688,-0.39689189195632935,0.6,0.12,512,2026
53.0,0.3077133893966675,0.006631043273955584,-0.40690290927886963,0.6,0.12,512,2026
54.0,0.29226112365722656,-0.015452273190021515,-0.3975772261619568,0.6,0.12,512,2026
55.0,0.2968650162220001,0.004603895824402571,-0.39916911721229553,0.6,0.12,512,2026
56.0,0.30642247200012207,0.009557473473250866,-0.4035244286060333,0.6,0.12,512,2026
57.0,0.31390419602394104,0.007481730077415705,-0.3962457478046417,0.6,0.12,512,2026
58.0,0.3085078299045563,-0.005396365188062191,-0.3952426612377167,0.6,0.12,512,2026
59.0,0.2970791459083557,-0.011428704485297203,-0.3972305953502655,0.6,0.12,512,2026
60.0,0.2922791838645935,-0.004799956455826759,-0.40716439485549927,0.6,0.12,512,2026
61.0,0.2725953459739685,-0.019683824852108955,-0.40106379985809326,0.6,0.12,512,2026
