process_type,level,mean_value,std_value,n_seeds,metric
Low-lambda2 MRW,analytic,0.02,0.0,3,lambda2_true
Low-lambda2 MRW,deterministic,0.02,0.0,3,lambda2_true
Low-lambda2 MRW,neural,0.02,0.0,3,lambda2_true
MRW,analytic,0.12,0.0,3,lambda2_true
MRW,deterministic,0.12,0.0,3,lambda2_true
MRW,neural,0.12,0.0,3,lambda2_true
fGn,analytic,0.0,0.0,3,lambda2_true
fGn,deterministic,0.0,0.0,3,lambda2_true
fGn,neural,0.0,0.0,3,lambda2_true
iid Gaussian,analytic,0.0,0.0,3,lambda2_true
iid Gaussian,deterministic,0.0,0.0,3,lambda2_true
iid Gaussian,neural,0.0,0.0,3,lambda2_true
Low-lambda2 MRW,analytic,0.9925685524940492,0.0,3,p_scaling
Low-lambda2 MRW,deterministic,0.9961652867496014,0.00027183519531486406,3,p_scaling
Low-lambda2 MRW,neural,0.9935548913975557,0.00020644644787891318,3,p_scaling
MRW,analytic,0.9948760867118835,0.0,3,p_scaling
MRW,deterministic,0.9957531852026781,0.0008439716661275243,3,p_scaling
MRW,neural,0.9931682385504246,0.0005632482357634515,3,p_scaling
fGn,analytic,0.9945580959320068,0.0,3,p_scaling
fGn,deterministic,0.9958419352769851,0.0004089458420754314,3,p_scaling
fGn,neural,0.9930489820738634,0.0002480647599252704,3,p_scaling
iid Gaussian,analytic,0.9956159591674804,0.0,3,p_scaling
iid Gaussian,deterministic,0.9938789928952853,0.00013324152526033304,3,p_scaling
iid Gaussian,neural,0.9961852145691713,6.882621297250245e-05,3,p_scaling
Low-lambda2 MRW,analytic,0.2833646535873413,0.0,3,p_curved
Low-lambda2 MRW,deterministic,0.027273963884605634,0.0024126215187499785,3,p_curved
Low-lambda2 MRW,neural,0.14443275774829087,0.05194421624822311,3,p_curved
MRW,analytic,0.8743001818656921,0.0,3,p_curved
MRW,deterministic,0.03172769463465857,0.010311857620633755,3,p_curved
MRW,neural,0.1278060395658637,0.07335175285739672,3,p_curved
fGn,analytic,0.0266654919832944,0.0,3,p_curved
fGn,deterministic,0.0318832923464166,0.00643469691321641,3,p_curved
fGn,neural,0.1824248131985465,0.023334970142355315,3,p_curved
iid Gaussian,analytic,0.022684147581457998,0.0,3,p_curved
iid Gaussian,deterministic,0.0310645586190124,0.003744166122666509,3,p_curved
iid Gaussian,neural,0.023844757951640802,0.004381880261317416,3,p_curved
Low-lambda2 MRW,analytic,0.6716573238372803,0.0,3,p_mono
Low-lambda2 MRW,deterministic,0.9623371014992396,0.0033222230907532396,3,p_mono
Low-lambda2 MRW,neural,0.8638041894882917,0.04479200952059655,3,p_mono
MRW,analytic,0.19852396845817558,0.0,3,p_mono
MRW,deterministic,0.9565737793842951,0.013897978031801232,3,p_mono
MRW,neural,0.8770643143604199,0.06047543816013788,3,p_mono
fGn,analytic,0.9681515097618104,0.0,3,p_mono
fGn,deterministic,0.9554280353089174,0.008858925981509587,3,p_mono
fGn,neural,0.8311741532136997,0.01789784316889726,3,p_mono
iid Gaussian,analytic,0.972271203994751,0.0,3,p_mono
iid Gaussian,deterministic,0.9567068032920361,0.0048752860553276664,3,p_mono
iid Gaussian,neural,0.9713536612689495,0.004627285363806271,3,p_mono
Low-lambda2 MRW,analytic,0.3522787690162658,0.0,3,p_mrw
Low-lambda2 MRW,deterministic,0.13704726099967954,0.002833860211447687,3,p_mrw
Low-lambda2 MRW,neural,0.2549622319638729,0.06118886752482424,3,p_mrw
MRW,analytic,0.9306429624557496,0.0,3,p_mrw
MRW,deterministic,0.14098056017731628,0.013900534880119816,3,p_mrw
MRW,neural,0.241570477373898,0.08130148047017614,3,p_mrw
fGn,analytic,0.1315139830112457,0.0,3,p_mrw
fGn,deterministic,0.1414364751738806,0.010038584621230995,3,p_mrw
fGn,neural,0.2994327253351609,0.02367707700159756,3,p_mrw
iid Gaussian,analytic,0.1251971125602722,0.0,3,p_mrw
iid Gaussian,deterministic,0.1415970564509431,0.0031631360846731326,3,p_mrw
iid Gaussian,neural,0.11939564968148864,0.005117216782094958,3,p_mrw
Low-lambda2 MRW,analytic,0.9870397448539734,0.0,3,p_boundary
Low-lambda2 MRW,deterministic,0.09383153604721879,0.03954142315470043,3,p_boundary
Low-lambda2 MRW,neural,0.12209362692374266,0.045498047521493945,3,p_boundary
MRW,analytic,2.099051670256813e-07,0.0,3,p_boundary
MRW,deterministic,0.11607128386822292,0.08728595449076124,3,p_boundary
MRW,neural,0.12929141298324487,0.029896028886307425,3,p_boundary
fGn,analytic,0.0100728413090109,0.0,3,p_boundary
fGn,deterministic,0.1472146328378585,0.07003361972741777,3,p_boundary
fGn,neural,0.16234672163651942,0.022056581109652314,3,p_boundary
iid Gaussian,analytic,0.0057196337729692,0.0,3,p_boundary
iid Gaussian,deterministic,0.11642751062997066,0.02385846094098543,3,p_boundary
iid Gaussian,neural,0.0334317360781521,0.03273751213440703,3,p_boundary
Low-lambda2 MRW,analytic,0.0,0.0,3,zeta_mae
Low-lambda2 MRW,deterministic,1.0383646264672282,0.003866281919082251,3,zeta_mae
Low-lambda2 MRW,neural,0.041774551655786696,0.0028805553414921713,3,zeta_mae
MRW,analytic,0.0,0.0,3,zeta_mae
MRW,deterministic,1.0227677424748738,0.0023470133953691,3,zeta_mae
MRW,neural,0.07141998495596143,0.0012891341609319502,3,zeta_mae
fGn,analytic,0.0,0.0,3,zeta_mae
fGn,deterministic,1.0419010768334072,0.0018059163987703014,3,zeta_mae
fGn,neural,0.040306097924864503,0.003231483589943568,3,zeta_mae
iid Gaussian,analytic,0.0,0.0,3,zeta_mae
iid Gaussian,deterministic,0.877036285897096,0.001576445604667688,3,zeta_mae
iid Gaussian,neural,0.0390195512445643,0.0013104223711993092,3,zeta_mae
