T,estimator,lambda2_mae,lambda2_rmse,lambda2_corr,lambda2_spearman,high_lambda_detection_rate,boundary_accuracy,mean_mrw_vs_mono_gain,warning_rate,seed,source_table
512,structure_bootstrap,0.0807957330086037,0.110707115090693,-0.1158466435849269,-0.0565527960758658,0.0,0.25,0.2147812124576376,0.796875,2024,lambda2_recovery_by_T
512,structure_ols,0.0809159174430402,0.1111763274237203,-0.1133232890271345,-0.0765615983834425,0.0,0.25,0.2229094234389776,0.796875,2024,lambda2_recovery_by_T
512,structure_smoothed,0.0808533713784709,0.1108415375232677,-0.1077254082400263,-0.0322569170854097,0.0,0.25,0.2319580882958689,0.796875,2024,lambda2_recovery_by_T
512,structure_trimmed,0.0807957330086037,0.110707115090693,-0.1158466435849269,-0.0565527960758658,0.0,0.25,0.2147812124576376,0.796875,2024,lambda2_recovery_by_T
1024,structure_bootstrap,0.0815157832572776,0.1113868402227614,-0.0113616072735709,-0.0496766390116869,0.0,0.25,0.1886894852068508,0.765625,2024,lambda2_recovery_by_T
1024,structure_ols,0.0818255143829173,0.1118225413175572,-0.1458796440006196,-0.1059658735647722,0.0,0.25,0.1790188800168834,0.765625,2024,lambda2_recovery_by_T
1024,structure_smoothed,0.0815761792697639,0.1114825488739032,-0.0239762830104743,-0.069221546163826,0.0,0.25,0.2098293601065961,0.765625,2024,lambda2_recovery_by_T
1024,structure_trimmed,0.0815157832572776,0.1113868402227614,-0.0113616072735709,-0.0496766390116869,0.0,0.25,0.1886894852068508,0.765625,2024,lambda2_recovery_by_T
2048,structure_bootstrap,0.0819272573055127,0.1118712140422282,0.0183633694200909,0.0311622733006924,0.0,0.25,0.1402239842136623,0.65625,2024,lambda2_recovery_by_T
2048,structure_ols,0.0817997436769428,0.1118768469822336,0.1997547230230602,0.1169138405121426,0.0,0.25,0.1070022498061007,0.65625,2024,lambda2_recovery_by_T
2048,structure_smoothed,0.0819513390907968,0.111905404130351,0.0216097594046269,0.0370076755493274,0.0,0.25,0.1449366532506246,0.65625,2024,lambda2_recovery_by_T
2048,structure_trimmed,0.0819272573055127,0.1118712140422282,0.0183633694200909,0.0311622733006924,0.0,0.25,0.1402239842136623,0.65625,2024,lambda2_recovery_by_T
512,structure_bootstrap,0.0797561579113516,0.1099587328095403,0.0701527895031799,0.0689219531554874,0.0,0.25,0.2226390138694114,0.859375,2025,lambda2_recovery_by_T
512,structure_ols,0.0814046975787232,0.1111616710765888,0.0542556025978146,0.0674965563859886,0.0,0.25,0.2214709923464397,0.859375,2025,lambda2_recovery_by_T
512,structure_smoothed,0.0798920320877596,0.1100893992387381,0.0712580397582843,0.0920239378413216,0.0,0.25,0.2479324541236565,0.859375,2025,lambda2_recovery_by_T
512,structure_trimmed,0.0797561579113516,0.1099587328095403,0.0701527895031799,0.0689219531554874,0.0,0.25,0.2226390138694114,0.859375,2025,lambda2_recovery_by_T
1024,structure_bootstrap,0.0818820830933373,0.1120478570351838,-0.201963980431489,-0.2366648323647187,0.0,0.25,0.1466962305712513,0.71875,2025,lambda2_recovery_by_T
1024,structure_ols,0.0818809378121909,0.1120941761200056,-0.2482814867989992,-0.2748074081429537,0.0,0.25,0.195509765546376,0.71875,2025,lambda2_recovery_by_T
1024,structure_smoothed,0.081940069678144,0.1121120752205223,-0.2058481781775082,-0.2408759503783258,0.0,0.25,0.1580473003268707,0.71875,2025,lambda2_recovery_by_T
1024,structure_trimmed,0.0818820830933373,0.1120478570351838,-0.201963980431489,-0.2366648323647187,0.0,0.25,0.1466962305712513,0.71875,2025,lambda2_recovery_by_T
2048,structure_bootstrap,0.0816342364622823,0.1111785887536848,0.0895838157792487,-0.0285966572108442,0.0,0.25,0.1559050908599601,0.59375,2025,lambda2_recovery_by_T
2048,structure_ols,0.0822368469505545,0.1119917709088832,-0.004712893817758,-0.0965602568930726,0.0,0.25,0.1508433075796347,0.59375,2025,lambda2_recovery_by_T
2048,structure_smoothed,0.0816640937249002,0.1112638901373901,0.0903687684940608,-0.0375398487455863,0.0,0.25,0.1721797788804906,0.59375,2025,lambda2_recovery_by_T
2048,structure_trimmed,0.0816342364622823,0.1111785887536848,0.0895838157792487,-0.0285966572108442,0.0,0.25,0.1559050908599601,0.59375,2025,lambda2_recovery_by_T
512,structure_bootstrap,0.0800677362941723,0.1097646468542827,0.1147704993085618,0.174744214236003,0.0,0.25,0.18978317442361,0.8125,2026,lambda2_recovery_by_T
512,structure_ols,0.0804258570002684,0.109863052532671,0.1966986478212153,0.1696583882275974,0.0,0.25,0.2667061122338054,0.8125,2026,lambda2_recovery_by_T
512,structure_smoothed,0.0801721615395263,0.1098706422638725,0.1317066337288023,0.1833254033279496,0.0,0.25,0.2015791705316587,0.8125,2026,lambda2_recovery_by_T
512,structure_trimmed,0.0800677362941723,0.1097646468542827,0.1147704993085618,0.174744214236003,0.0,0.25,0.18978317442361,0.8125,2026,lambda2_recovery_by_T
1024,structure_bootstrap,0.0812684459651973,0.1109114810886333,-0.0095798171513993,-0.0307518188923966,0.0,0.25,0.2063693592481286,0.65625,2026,lambda2_recovery_by_T
1024,structure_ols,0.0818441212448033,0.1114017533978867,-0.0985020281601009,-0.1341897551668216,0.0,0.25,0.2117610765144491,0.65625,2026,lambda2_recovery_by_T
1024,structure_smoothed,0.0813600903689075,0.1110287163270964,-0.0094382328245671,-0.0315505674350562,0.0,0.25,0.221717507094354,0.65625,2026,lambda2_recovery_by_T
1024,structure_trimmed,0.0812684459651973,0.1109114810886333,-0.0095798171513993,-0.0307518188923966,0.0,0.25,0.2063693592481286,0.65625,2026,lambda2_recovery_by_T
2048,structure_bootstrap,0.0814935294179304,0.1118540906053787,-0.1413242824147242,-0.0918959375406498,0.0,0.25,0.1768359183843131,0.625,2026,lambda2_recovery_by_T
2048,structure_ols,0.081366166717903,0.1114330012520538,0.1760193052974231,0.2046603354613047,0.0,0.25,0.2217392310849391,0.625,2026,lambda2_recovery_by_T
2048,structure_smoothed,0.081536031058722,0.1118955741502155,-0.1384497187958904,-0.0984599330792677,0.0,0.25,0.1829825368949968,0.625,2026,lambda2_recovery_by_T
2048,structure_trimmed,0.0814935294179304,0.1118540906053787,-0.1413242824147242,-0.0918959375406498,0.0,0.25,0.1768359183843131,0.625,2026,lambda2_recovery_by_T
