T,estimator,mean_value,std_value,n_seeds,metric
512,structure_bootstrap,0.0802065424047092,0.000533506745925923,3,lambda2_mae
512,structure_ols,0.0809154906740106,0.0004894204287790698,3,lambda2_mae
512,structure_smoothed,0.08030585500191893,0.0004944176012049133,3,lambda2_mae
512,structure_trimmed,0.0802065424047092,0.000533506745925923,3,lambda2_mae
1024,structure_bootstrap,0.08155543743860406,0.00030873446816071556,3,lambda2_mae
1024,structure_ols,0.08185019114663716,2.8205884303029998e-05,3,lambda2_mae
1024,structure_smoothed,0.08162544643893847,0.0002931116515160536,3,lambda2_mae
1024,structure_trimmed,0.08155543743860406,0.00030873446816071556,3,lambda2_mae
2048,structure_bootstrap,0.08168500772857513,0.0002212764362226285,3,lambda2_mae
2048,structure_ols,0.08180091911513343,0.000435341306475417,3,lambda2_mae
2048,structure_smoothed,0.08171715462480633,0.00021267765444587614,3,lambda2_mae
2048,structure_trimmed,0.08168500772857513,0.0002212764362226285,3,lambda2_mae
512,structure_bootstrap,0.11014349825150534,0.0004976598191224521,3,lambda2_rmse
512,structure_ols,0.11073368367766002,0.000754024300070302,3,lambda2_rmse
512,structure_smoothed,0.1102671930086261,0.0005092812284359802,3,lambda2_rmse
512,structure_trimmed,0.11014349825150534,0.0004976598191224521,3,lambda2_rmse
1024,structure_bootstrap,0.11144872611552616,0.0005707100584071585,3,lambda2_rmse
1024,structure_ols,0.11177282361181651,0.0003488784805985153,3,lambda2_rmse
1024,structure_smoothed,0.11154111347384064,0.0005440486947559176,3,lambda2_rmse
1024,structure_trimmed,0.11144872611552616,0.0005707100584071585,3,lambda2_rmse
2048,structure_bootstrap,0.11163463113376389,0.00039503707717572793,3,lambda2_rmse
2048,structure_ols,0.11176720638105686,0.00029507910535669213,3,lambda2_rmse
2048,structure_smoothed,0.11168828947265219,0.00036757346742596604,3,lambda2_rmse
2048,structure_trimmed,0.11163463113376389,0.00039503707717572793,3,lambda2_rmse
512,structure_bootstrap,0.023025548408938265,0.12231843397033429,3,lambda2_corr
512,structure_ols,0.0458769871306318,0.15518070508172313,3,lambda2_corr
512,structure_smoothed,0.03174642174902011,0.12451024716312804,3,lambda2_corr
512,structure_trimmed,0.023025548408938265,0.12231843397033429,3,lambda2_corr
1024,structure_bootstrap,-0.07430180161881973,0.11056227936510862,3,lambda2_corr
1024,structure_ols,-0.16422105298657322,0.07655571187202741,3,lambda2_corr
1024,structure_smoothed,-0.07975423133751654,0.10944222813003658,3,lambda2_corr
1024,structure_trimmed,-0.07430180161881973,0.11056227936510862,3,lambda2_corr
2048,structure_bootstrap,-0.011125699071794865,0.11824483634932523,3,lambda2_corr
2048,structure_ols,0.12368704483424175,0.11182911382118074,3,lambda2_corr
2048,structure_smoothed,-0.00882373029906757,0.11740580480995838,3,lambda2_corr
2048,structure_trimmed,-0.011125699071794865,0.11824483634932523,3,lambda2_corr
512,structure_bootstrap,0.06237112377187487,0.11578757173812777,3,lambda2_spearman
512,structure_ols,0.05353111541004784,0.12370264996322645,3,lambda2_spearman
512,structure_smoothed,0.08103080802795383,0.10821077070246864,3,lambda2_spearman
512,structure_trimmed,0.06237112377187487,0.11578757173812777,3,lambda2_spearman
1024,structure_bootstrap,-0.10569776342293406,0.11381483675048037,3,lambda2_spearman
1024,structure_ols,-0.17165434562484916,0.09044093433462312,3,lambda2_spearman
1024,structure_smoothed,-0.11388268799240266,0.11158065324311735,3,lambda2_spearman
1024,structure_trimmed,-0.10569776342293406,0.11381483675048037,3,lambda2_spearman
2048,structure_bootstrap,-0.02977677381693387,0.06153759274030009,3,lambda2_spearman
2048,structure_ols,0.07500463969345823,0.1549217452442558,3,lambda2_spearman
2048,structure_smoothed,-0.032997368758508866,0.06784794647012025,3,lambda2_spearman
2048,structure_trimmed,-0.02977677381693387,0.06153759274030009,3,lambda2_spearman
512,structure_bootstrap,0.0,0.0,3,high_lambda_detection_rate
512,structure_ols,0.0,0.0,3,high_lambda_detection_rate
512,structure_smoothed,0.0,0.0,3,high_lambda_detection_rate
512,structure_trimmed,0.0,0.0,3,high_lambda_detection_rate
1024,structure_bootstrap,0.0,0.0,3,high_lambda_detection_rate
1024,structure_ols,0.0,0.0,3,high_lambda_detection_rate
1024,structure_smoothed,0.0,0.0,3,high_lambda_detection_rate
1024,structure_trimmed,0.0,0.0,3,high_lambda_detection_rate
2048,structure_bootstrap,0.0,0.0,3,high_lambda_detection_rate
2048,structure_ols,0.0,0.0,3,high_lambda_detection_rate
2048,structure_smoothed,0.0,0.0,3,high_lambda_detection_rate
2048,structure_trimmed,0.0,0.0,3,high_lambda_detection_rate
512,structure_bootstrap,0.25,0.0,3,boundary_accuracy
512,structure_ols,0.25,0.0,3,boundary_accuracy
512,structure_smoothed,0.25,0.0,3,boundary_accuracy
512,structure_trimmed,0.25,0.0,3,boundary_accuracy
1024,structure_bootstrap,0.25,0.0,3,boundary_accuracy
1024,structure_ols,0.25,0.0,3,boundary_accuracy
1024,structure_smoothed,0.25,0.0,3,boundary_accuracy
1024,structure_trimmed,0.25,0.0,3,boundary_accuracy
2048,structure_bootstrap,0.25,0.0,3,boundary_accuracy
2048,structure_ols,0.25,0.0,3,boundary_accuracy
2048,structure_smoothed,0.25,0.0,3,boundary_accuracy
2048,structure_trimmed,0.25,0.0,3,boundary_accuracy
512,structure_bootstrap,0.20906780025021968,0.017156889453248045,3,mean_mrw_vs_mono_gain
512,structure_ols,0.23702884267307422,0.025711330526388954,3,mean_mrw_vs_mono_gain
