time,omega_t,increment,path,H,lambda2,L,seed
0.0,-0.3749181628227234,-0.0021912904921919,-0.0021912904921919,0.6,0.12,512,2026
1.0,-0.3693473935127258,0.0117524033412337,0.0095611130818724,0.6,0.12,512,2026
2.0,-0.373631864786148,0.0146408760920166,0.0242019891738891,0.6,0.12,512,2026
3.0,-0.3777565658092499,0.010710964910686,0.0349129550158977,0.6,0.12,512,2026
4.0,-0.37639319896698,0.0149089321494102,0.049821887165308,0.6,0.12,512,2026
5.0,-0.3728919327259063,-0.007129967212677,0.042691919952631,0.6,0.12,512,2026
6.0,-0.3681574165821075,-0.0082973344251513,0.034394584596157,0.6,0.12,512,2026
7.0,-0.3775863945484161,-0.0101144332438707,0.0242801513522863,0.6,0.12,512,2026
8.0,-0.3776807188987732,0.0002932951611001,0.0245734471827745,0.6,0.12,512,2026
9.0,-0.3763048350811004,0.0177803337574005,0.0423537828028202,0.6,0.12,512,2026
10.0,-0.3670931160449981,0.0099093271419405,0.052263107150793,0.6,0.12,512,2026
11.0,-0.3722176551818847,0.0048799728974699,0.0571430809795856,0.6,0.12,512,2026
12.0,-0.3704215586185455,0.0025915906298905,0.0597346723079681,0.6,0.12,512,2026
13.0,-0.3650634586811065,0.0103980591520667,0.0701327323913574,0.6,0.12,512,2026
14.0,-0.370777279138565,0.0196760818362236,0.089808814227581,0.6,0.12,512,2026
15.0,-0.3707016110420227,0.009526040405035,0.0993348509073257,0.6,0.12,512,2026
16.0,-0.3741523921489715,-0.0033320302609354,0.0960028246045112,0.6,0.12,512,2026
17.0,-0.3757278621196747,0.0138585586100816,0.1098613813519477,0.6,0.12,512,2026
18.0,-0.3726276755332947,0.0084287673234939,0.1182901486754417,0.6,0.12,512,2026
19.0,-0.3764700293540954,0.0151569033041596,0.1334470510482788,0.6,0.12,512,2026
20.0,-0.3703964948654175,0.0167073234915733,0.1501543819904327,0.6,0.12,512,2026
21.0,-0.3690646290779114,-0.0008724089711904,0.1492819637060165,0.6,0.12,512,2026
22.0,-0.3587425351142883,0.0067386641167104,0.1560206264257431,0.6,0.12,512,2026
23.0,-0.3687083125114441,-0.0016923287184908,0.1543283015489578,0.6,0.12,512,2026
24.0,-0.3599708080291748,-0.0118641639128327,0.142464131116867,0.6,0.12,512,2026
25.0,-0.3769449889659881,-0.0018130546668544,0.1406510770320892,0.6,0.12,512,2026
26.0,-0.3830170035362243,-0.01188775151968,0.1287633329629898,0.6,0.12,512,2026
27.0,-0.3839513957500458,0.0023061358369886,0.131069466471672,0.6,0.12,512,2026
28.0,-0.3769023418426513,0.0055611850693821,0.1366306543350219,0.6,0.12,512,2026
29.0,-0.3884772956371307,0.0038341197650879,0.1404647678136825,0.6,0.12,512,2026
30.0,-0.3836788535118103,0.0308226775377988,0.1712874472141266,0.6,0.12,512,2026
31.0,-0.3895445764064789,0.0233874358236789,0.1946748942136764,0.6,0.12,512,2026
32.0,-0.3904688656330108,0.0038217660039663,0.1984966546297073,0.6,0.12,512,2026
33.0,-0.3953562676906585,-0.0043860841542482,0.1941105723381042,0.6,0.12,512,2026
34.0,-0.3972446322441101,0.021361781284213,0.2154723554849624,0.6,0.12,512,2026
35.0,-0.4027500748634338,-0.0073138168081641,0.2081585377454757,0.6,0.12,512,2026
36.0,-0.4059502482414245,-0.0040749255567789,0.2040836066007614,0.6,0.12,512,2026
37.0,-0.3967061936855316,0.0003995661099907,0.2044831812381744,0.6,0.12,512,2026
