T,estimator,lambda2_corr,lambda2_mae,high_lambda_detection_rate,boundary_accuracy
512,structure_bootstrap,-0.1772363498706005,0.0821094131377428,0.0,0.25
512,structure_ols,-0.1249145698123986,0.081611333561738,0.0,0.25
512,structure_smoothed,-0.169371756593245,0.0821071951277372,0.0,0.25
512,structure_trimmed,-0.1772363498706005,0.0821094131377428,0.0,0.25
1024,structure_bootstrap,0.1360048671542245,0.0804707572115259,0.0,0.25
1024,structure_ols,-0.0215494314012509,0.0808952738994048,0.0,0.25
1024,structure_smoothed,0.1365837034078772,0.0805445579004329,0.0,0.25
1024,structure_trimmed,0.1360048671542245,0.0804707572115259,0.0,0.25
2048,structure_bootstrap,-0.0506514719684766,0.0819296766370816,0.0,0.25
2048,structure_ols,-0.052684225408876,0.081996838936191,0.0,0.25
2048,structure_smoothed,-0.0512913204179675,0.0819715778298086,0.0,0.25
2048,structure_trimmed,-0.0506514719684766,0.0819296766370816,0.0,0.25
