process_type,spectrum_source,p_MRW,p_curved,zeta_mae,seed
Low-lambda2 MRW,analytic,0.3522787690162658,0.2833646535873413,0.0,2024
Low-lambda2 MRW,deterministic,0.1338912514038384,0.0246978839277289,1.0422342270612717,2024
Low-lambda2 MRW,neural,0.273781496565789,0.1615681757684797,0.0419768069405108,2024
MRW,analytic,0.9306429624557496,0.8743001818656921,0.0,2024
MRW,deterministic,0.1570160910487175,0.0436043513473123,1.0252166986465454,2024
MRW,neural,0.1793731953948736,0.0690866441000253,0.0722663139458745,2024
fGn,analytic,0.1315139830112457,0.0266654919832944,0.0,2024
fGn,deterministic,0.136095960624516,0.0281117397826164,1.0438910126686096,2024
fGn,neural,0.3217676132917404,0.2044447360094636,0.0412738635204732,2024
iid Gaussian,analytic,0.1251971125602722,0.022684147581458,0.0,2024
iid Gaussian,deterministic,0.1448462530970573,0.0352106625214219,0.8752756230533123,2024
iid Gaussian,neural,0.1251307823695242,0.0288075304124504,0.0400268658413551,2024
Low-lambda2 MRW,analytic,0.3522787690162658,0.2833646535873413,0.0,2025
Low-lambda2 MRW,deterministic,0.1393739087507128,0.0294804817531257,1.0345016717910769,2025
Low-lambda2 MRW,neural,0.1865741801448166,0.0860856886720284,0.0387981990352273,2025
MRW,analytic,0.9306429624557496,0.8743001818656921,0.0,2025
MRW,deterministic,0.1335720419883728,0.026526371424552,1.0225484669208529,2025
MRW,neural,0.2117712176404893,0.1043026680126786,0.0720573214348405,2025
fGn,analytic,0.1315139830112457,0.0266654919832944,0.0,2025
fGn,deterministic,0.1530164103023708,0.0393131526652723,1.040366247296333,2025
fGn,neural,0.2746099322102964,0.1579663172597065,0.042943121807184,2025
iid Gaussian,analytic,0.1251971125602722,0.022684147581458,0.0,2025
iid Gaussian,deterministic,0.1414172663353383,0.0300527072977274,0.878316905349493,2025
iid Gaussian,neural,0.1152963782660663,0.0205095323035493,0.0375380418263375,2025
Low-lambda2 MRW,analytic,0.3522787690162658,0.2833646535873413,0.0,2026
Low-lambda2 MRW,deterministic,0.1378766228444874,0.0276435259729623,1.0383579805493357,2026
Low-lambda2 MRW,neural,0.3045310191810131,0.1856444088043645,0.044548648991622,2026
MRW,analytic,0.9306429624557496,0.8743001818656921,0.0,2026
MRW,deterministic,0.1323535474948585,0.0250523611321114,1.0205380618572235,2026
MRW,neural,0.3335670190863311,0.2100288065848872,0.0699363194871693,2026
fGn,analytic,0.1315139830112457,0.0266654919832944,0.0,2026
fGn,deterministic,0.1351970545947551,0.0282249845913611,1.0414459705352783,2026
fGn,neural,0.3019206305034458,0.1848633863264694,0.0367013084469363,2026
iid Gaussian,analytic,0.1251971125602722,0.022684147581458,0.0,2026
iid Gaussian,deterministic,0.1385276499204337,0.0279303060378879,0.8775163292884827,2026
iid Gaussian,neural,0.1177597884088754,0.0222172111389227,0.0394937460660003,2026
