T,process_type,r_MRW,r_mono,lambda2_proj,p_MRW,p_mono,p_boundary
256,"GARCH(1,1)",0.2205339256984492,0.2358408356085419,0.0035564445612787,0.3854116559028625,0.5291748811801275,0.3433514143029849
256,Low-lambda2 MRW,0.0392013755937417,0.0560030749688545,0.0696750823810968,0.6640922158956528,0.6120217780272166,0.5853639920552571
256,MRW,0.0399543103141089,0.0587162665557116,0.0715565016882465,0.661005329589049,0.6178226793805758,0.5783688175181548
256,Regime-switching Gaussian,0.2730882808566093,0.2900315308943391,0.0025011743079327,0.3786339645584424,0.443656687438488,0.3080327585339546
256,Shuffled MRW,0.0506048385260833,0.0514453312589062,0.0138901304173891,0.4440174695518282,0.7309641841385099,0.4585408465729819
256,fGn,0.0390475674842794,0.055889018645717,0.06540517848787,0.6446880112091701,0.6237738652361764,0.5714299228456285
256,iid Gaussian,0.0499177980547149,0.0490280863208075,0.0119107025254682,0.4200564603010813,0.7469112008810044,0.4428460756937663
256,iid Student-t,0.2725365545600652,0.2864404222203625,0.0039566457891649,0.3789150006241268,0.45611356165674,0.3172519445419312
512,"GARCH(1,1)",0.2761992801601688,0.3001399658620357,0.0002063245500418,0.3687763452529907,0.4725030745069186,0.3058339049418767
512,Low-lambda2 MRW,0.0380299954364697,0.054186192775766,0.0585572194509344,0.6538052300612132,0.6243115832408269,0.5877492785453796
512,MRW,0.0382884443737566,0.0530512223330636,0.0559795157196276,0.6605867721140385,0.6194244839251042,0.600881639868021
512,Regime-switching Gaussian,0.3048843225153784,0.3292278583782415,1.000000338535756e-06,0.3644558385014534,0.4349979137380917,0.2945683017373085
512,Shuffled MRW,0.0498663368117478,0.0460589508215586,0.0023640613492009,0.3900985360145569,0.7623725665940179,0.4186601092418034
512,fGn,0.0381313997838232,0.0530931218216816,0.0579853117039116,0.6611756914191775,0.6227350837654537,0.6001271191570494
512,iid Gaussian,0.0512333965549866,0.047072828747332,0.000222531254379,0.3813594887653986,0.7666785548130671,0.4200416023532549
512,iid Student-t,0.344204572836558,0.3663686795367135,1.000000338535756e-06,0.3613562918371624,0.3926656633615494,0.2932647688521279
1024,"GARCH(1,1)",0.3353252947951357,0.370139669564863,1.000000338535756e-06,0.359431184331576,0.4151187817255656,0.2864954789479573
1024,Low-lambda2 MRW,0.0407623179877797,0.0545644511779149,0.0504661663035221,0.6562467704216639,0.6248271365960439,0.5975963612397511
1024,MRW,0.0379200240597128,0.0507775769413759,0.0482842187984715,0.6555214030047257,0.6257109776139259,0.6084077308575312
1024,Regime-switching Gaussian,0.3530499532818794,0.3834053890158733,1.000000338535756e-06,0.3631219123800596,0.3873091280460358,0.283702777326107
1024,Shuffled MRW,0.0494678936070866,0.0442245664695898,0.0001807917821376,0.3670426030953725,0.7742208699385326,0.3921351760625839
1024,fGn,0.0382290879471434,0.0499537598755624,0.0454101198777304,0.6389141642385059,0.6354083789719476,0.5955684983068043
1024,iid Gaussian,0.0506320007145404,0.0451193631937106,1.000000338535756e-06,0.3702440083026886,0.7723022113243739,0.3951681936780611
1024,iid Student-t,0.3757567099399037,0.4045746990376048,1.000000338535756e-06,0.3596967034869723,0.3640487290090984,0.2833597057395511
2048,"GARCH(1,1)",0.3808187335729599,0.4218941108013193,1.000000338535756e-06,0.3604318728049596,0.3737173050642013,0.2812703177332878
2048,Low-lambda2 MRW,0.0382396773124734,0.0482480614135662,0.0390319912602232,0.6413513064384461,0.633815985918045,0.6077468514442443
2048,MRW,0.0371667352039366,0.0476194204452137,0.0400240619868782,0.6515452096859614,0.6249691406885783,0.6159959398210049
2048,Regime-switching Gaussian,0.3707587033510208,0.4067651915053527,1.000000338535756e-06,0.36414145976305,0.3743770604332288,0.2812170053521792
2048,Shuffled MRW,0.048729381751683,0.0428691899196969,1.000000338535756e-06,0.3632642189661662,0.7778754737642076,0.3846741322014066
2048,fGn,0.0368845889551772,0.0488399618615706,0.0449375365387014,0.6689738872978422,0.6180247379673852,0.6238021287653182
2048,iid Gaussian,0.048887575045228,0.0433271450921893,1.000000338535756e-06,0.366322069366773,0.776138440767924,0.3877497951189677
2048,iid Student-t,0.385254697004954,0.4147397735052638,1.000000338535756e-06,0.3573244588242636,0.3608454197645187,0.283035338918368
