factor,metric,metric_label,surrogate_type,n_windows,mean_gap,sem_gap,median_gap,q25_gap,q75_gap
HML,lambda2_gap,Projected lambda^2,fully_shuffled,102,0.009993187452492633,0.0021414947510995123,0.008863582428185,-0.0040985501190525,0.024596486275762303
HML,lambda2_gap,Projected lambda^2,block_shuffled,102,-0.005493696992735159,0.0017603922661307426,-0.006256387141116201,-0.01596870808030315,0.0065957895150668
HML,p_MRW_gap,MRW diagnostic score,fully_shuffled,102,0.015481459671782272,0.0030539221136982953,0.0134631264982887,-0.00314420337232905,0.034751203998599274
HML,p_MRW_gap,MRW diagnostic score,block_shuffled,102,-0.008784951977304509,0.0023959735747710585,-0.0116594325408747,-0.020734789724173926,0.0035196371547335753
HML,f_alpha_width_gap,Spectrum width,fully_shuffled,102,0.01998637490498523,0.004282989502199025,0.0177271648563694,-0.008197100238105225,0.04919297255152433
HML,f_alpha_width_gap,Spectrum width,block_shuffled,102,-0.010987393985470335,0.0035207845322614887,-0.0125127742822328,-0.03193741616060618,0.013191579030133401
HML,logvol_cov_slope_gap,Log-volatility covariance slope,fully_shuffled,102,0.018039719111048028,0.00342381092900091,0.013765220807265801,-0.00225809228146365,0.03670855015225605
HML,logvol_cov_slope_gap,Log-volatility covariance slope,block_shuffled,102,-0.010488618868836206,0.002378797875566673,-0.0081084772216172,-0.02186068615129035,0.0021565581608679
Mkt-RF,lambda2_gap,Projected lambda^2,fully_shuffled,102,0.008568164605129916,0.002055096007955078,0.00506163562308335,-0.008001656572174701,0.0253506144581203
Mkt-RF,lambda2_gap,Projected lambda^2,block_shuffled,102,-0.004668379509369012,0.0016858314720541738,-0.0027524536757165,-0.012323111821951276,0.00547717249877865
Mkt-RF,p_MRW_gap,MRW diagnostic score,fully_shuffled,102,0.016168707751811482,0.0031247389573953017,0.010003824253258551,-0.0029779322533716,0.03879697927884995
Mkt-RF,p_MRW_gap,MRW diagnostic score,block_shuffled,102,-0.0072122420417534095,0.002402824454702621,-0.0051494954645706,-0.0188404008797717,0.00680487904987825
Mkt-RF,f_alpha_width_gap,Spectrum width,fully_shuffled,102,0.01713632921025981,0.004110192015910168,0.010123271246166899,-0.0160033131443494,0.050701228916240675
Mkt-RF,f_alpha_width_gap,Spectrum width,block_shuffled,102,-0.00933675901873809,0.0033716629441083567,-0.00550490735143325,-0.024646223643902898,0.01095434499755665
Mkt-RF,logvol_cov_slope_gap,Log-volatility covariance slope,fully_shuffled,102,0.02110031924833269,0.003680558895033506,0.019957914694492748,-0.0039491281466673255,0.045062441712154205
Mkt-RF,logvol_cov_slope_gap,Log-volatility covariance slope,block_shuffled,102,-0.008087925226712199,0.002470638176944174,-0.0052919673568422,-0.021585074015322926,0.00835714111187345
Mom,lambda2_gap,Projected lambda^2,fully_shuffled,102,0.013665836530297132,0.0020679532188888614,0.01361471340252465,-0.00278859253245245,0.026755038858189525
Mom,lambda2_gap,Projected lambda^2,block_shuffled,102,-0.013524011941440416,0.0019906421573919722,-0.0101556548415,-0.027398389301265848,-0.001089372076912325
Mom,p_MRW_gap,MRW diagnostic score,fully_shuffled,102,0.022089636848949296,0.003060538293338512,0.022540097890875653,0.0012287560024925501,0.041876237793016274
Mom,p_MRW_gap,MRW diagnostic score,block_shuffled,102,-0.021065703006605815,0.002800205361453025,-0.01511414730439305,-0.041438199385390145,-0.0040016599264484495
Mom,f_alpha_width_gap,Spectrum width,fully_shuffled,102,0.027331673060594266,0.004135906437777726,0.0272294268050498,-0.0055771850649050745,0.05351007771637882
Mom,f_alpha_width_gap,Spectrum width,block_shuffled,102,-0.02704802388288091,0.003981284314783949,-0.0203113096830004,-0.05479677860253177,-0.002178744153824825
Mom,logvol_cov_slope_gap,Log-volatility covariance slope,fully_shuffled,102,0.029375706438809466,0.003055168532459937,0.025703172701143202,0.006642894398829175,0.050400652899508375
Mom,logvol_cov_slope_gap,Log-volatility covariance slope,block_shuffled,102,-0.016356056116730886,0.0025753035118341377,-0.01485507023840845,-0.03155450355957235,0.00020398125647514998
SMB,lambda2_gap,Projected lambda^2,fully_shuffled,102,0.01288659896996656,0.002275667091450825,0.01122777320971205,-0.0011368319382637749,0.0266296978077705
SMB,lambda2_gap,Projected lambda^2,block_shuffled,102,0.00029315967782459016,0.0016433777598469867,-0.00142450753207195,-0.012336410645390126,0.009593144833055125
SMB,p_MRW_gap,MRW diagnostic score,fully_shuffled,102,0.019762695777191256,0.003143322506380618,0.0131062546705422,-0.0005434501500860001,0.04075218493400042
SMB,p_MRW_gap,MRW diagnostic score,block_shuffled,102,-0.0011008449347183302,0.0023629926058281897,-0.00281069849177265,-0.017793770935362375,0.011959902415496399
SMB,f_alpha_width_gap,Spectrum width,fully_shuffled,102,0.02577319793993316,0.004551334182901648,0.0224555464194242,-0.002273663876527275,0.0532593956155411
SMB,f_alpha_width_gap,Spectrum width,block_shuffled,102,0.0005863193556491841,0.003286755519693971,-0.0028490150641436503,-0.024672821290780623,0.019186289666109975
SMB,logvol_cov_slope_gap,Log-volatility covariance slope,fully_shuffled,102,0.02383091676765207,0.0034982146616750554,0.0187521251147095,-0.0016358577049820251,0.046122795100328656
SMB,logvol_cov_slope_gap,Log-volatility covariance slope,block_shuffled,102,-0.0028533324449560513,0.002276615595012875,-0.0042743699157296,-0.0187167167430764,0.013577764187428799
