T,estimator,lambda2_mae,lambda2_rmse,lambda2_corr,lambda2_spearman,high_lambda_detection_rate,boundary_accuracy,mean_mrw_vs_mono_gain,warning_rate
512,structure_bootstrap,0.08210941313774281,0.1113465602463595,-0.17723634987060058,-0.17593150244253825,0.0,0.25,0.14593029843551145,0.8020833333333334
512,structure_ols,0.08161133356173803,0.11113353593503707,-0.12491456981239865,-0.12322186579804761,0.0,0.25,0.2064294118026737,0.8020833333333334
512,structure_smoothed,0.08210719512773722,0.11140743681468702,-0.169371756593245,-0.1763201817154977,0.0,0.25,0.15622531041481125,0.8020833333333334
512,structure_trimmed,0.08210941313774281,0.1113465602463595,-0.17723634987060058,-0.17593150244253825,0.0,0.25,0.14593029843551145,0.8020833333333334
1024,structure_bootstrap,0.08047075721152595,0.11066865531005382,0.13600486715422452,0.16781353376239097,0.0,0.25,0.1768229607041576,0.75
1024,structure_ols,0.08089527389940486,0.11130935711713393,-0.02154943140125099,0.044191400901468864,0.0,0.25,0.20928984716617074,0.75
1024,structure_smoothed,0.08054455790043298,0.11073793095918473,0.1365837034078772,0.173023589819864,0.0,0.25,0.18176166572933047,0.75
1024,structure_trimmed,0.08047075721152595,0.11066865531005382,0.13600486715422452,0.16781353376239097,0.0,0.25,0.1768229607041576,0.75
2048,structure_bootstrap,0.0819296766370816,0.1119380916452489,-0.050651471968476657,-0.06492175763255002,0.0,0.25,0.18324020476635874,0.65625
2048,structure_ols,0.08199683893619106,0.11211563970390435,-0.052684225408876004,-0.13823142045581419,0.0,0.25,0.19216862510196128,0.65625
2048,structure_smoothed,0.08197157782980867,0.11199861313683351,-0.05129132041796757,-0.04497541890602127,0.0,0.25,0.18785112676899493,0.65625
2048,structure_trimmed,0.0819296766370816,0.1119380916452489,-0.050651471968476657,-0.06492175763255002,0.0,0.25,0.18324020476635874,0.65625
